source_id,review_stratum,컬럼명,테이블명,테이블설명,영문 Full Name,한글속성명,business_semantic_accuracy,meaning_completeness,korean_naturalness,terminology_consistency,business_ambiguity_safety,severity,comment
row-562,deterministic,BKCD,SAM_STF,,BANK CODE,은행코드,,,,,,,
row-15,deterministic,PY_RSCD,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,PAYMENT REASON CODE,지급사유코드,,,,,,,
row-106,deterministic,STDBD_RP_PRM,INS_CVR_INCM_PRM,계약_담보수입보험료,STANDARD BODY RECEIPT PREMIUM,표준체영수보험료,,,,,,,
row-77,deterministic,PART_CVR_STCD,INS_CR_ST_CRR,계약_계약상태이력,PART COVERAGE STATUS CODE,부문담보상태코드,,,,,,,
row-7,deterministic,RSNO,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,RESIDENT REGISTRATION NUMBER,주민번호,,,,,,,
row-231,deterministic,NRDCT,INS_INS_CR,계약_보험계약,INSURED PERSON COUNT,피보험자수,,,,,,,
row-122,deterministic,RP_PRM,INS_INCM_PRM,계약_수입보험료,RECEIPT PREMIUM,영수보험료,,,,,,,
row-623,deterministic,ADM_AGYCD,SAM_STF,,ADMINISTRATION AGENCY CODE,관리대리점코드,,,,,,,
row-67,deterministic,VALD_NDS_YN,INS_CR_ST_CRR,계약_계약상태이력,VALID ENDORSEMENT YES OR NO,유효배서여부,,,,,,,
row-657,deterministic,BROF_CD,SAM_STF,,BRANCH OFFICE CODE,출장소코드,,,,,,,
row-506,mapping_ambiguity,ORG_RL_FLGCD,SAM_ORG,,ORGANIZATION REAL FLAG CODE,기관실구분코드,,,,,,,
row-407,mapping_ambiguity,DRVE_CR_USECD,INS_INS_CR,계약_보험계약,DRIVE CONTRACT USE CODE,운전계약용도코드,,,,,,,
row-585,mapping_ambiguity,BZ_ATR_CHDT,SAM_STF,,BUSINESS ATTRIBUTE CHANGE DATE,영업속성변경일자,,,,,,,
row-654,mapping_ambiguity,SB_STFNO,SAM_STF,,SUBSTITUTION STAFF NUMBER,대체직원번호,,,,,,,
row-396,mapping_ambiguity,PYM_XMP_STDT,INS_INS_CR,계약_보험계약,PAYMENT EXEMPTION START DATE,납입면제시기일자,,,,,,,
row-86,mapping_ambiguity,CVR_PYM_YYMM,INS_CVR_INCM_PRM,계약_담보수입보험료,COVERAGE PAYMENT YEAR MONTH,담보납입년월,,,,,,,
row-184,mapping_ambiguity,SELF_CR_YN,INS_INCM_PRM,계약_수입보험료,SELF CONTRACT YES OR NO,자기계약여부,,,,,,,
row-435,mapping_ambiguity,SEP_CR_FLGCD,INS_INS_CR,계약_보험계약,SEPARATE CONTRACT FLAG CODE,분리계약구분코드,,,,,,,
row-406,mapping_ambiguity,DRVE_TYCD,INS_INS_CR,계약_보험계약,DRIVE TYPE CODE,운전형태코드,,,,,,,
row-420,mapping_ambiguity,SELF_CR_YN,INS_INS_CR,계약_보험계약,SELF CONTRACT YES OR NO,자기계약여부,,,,,,,
row-685,mapping_ambiguity,STF_GRDCD,SAM_STF,,STAFF GRADE CODE,직원등급코드,,,,,,,
row-156,mapping_ambiguity,AUTO_TF_DC_YN,INS_INCM_PRM,계약_수입보험료,AUTOMATIC TRANSFER DISCOUNT YES OR NO,자동이체할인여부,,,,,,,
row-225,mapping_ambiguity,PLY_RC_MTDCD,INS_INS_CR,계약_보험계약,POLICY RECEIPT METHOD CODE,증권액방법코드,,,,,,,
row-416,mapping_ambiguity,INP_USR_ID,INS_INS_CR,계약_보험계약,INPUT USER IDENTIFIER,입력사용자ID,,,,,,,
row-139,mapping_ambiguity,USD_AP_XCRT,INS_INCM_PRM,계약_수입보험료,USED APPLICATION EXCHANGE RATE,중고적용환율,,,,,,,
row-625,unmapped_inference,LTRM_AW_GPCD,SAM_STF,,LONG TERM ALLOWANCE GPCD,장기수당미정,,,,,,,
row-255,unmapped_inference,RGLT_VLT_POCT,INS_INS_CR,계약_보험계약,REGULATION VIOLATION POCT,법규위반미정,,,,,,,
row-408,unmapped_inference,EMBR_MINSR_YN,INS_INS_CR,계약_보험계약,EMBRYO MINSR YES OR NO,태아미정여부,,,,,,,
row-636,unmapped_inference,HNOR_CMP_STF_YN,SAM_STF,,HNOR COMPANY STAFF YES OR NO,미정회사직원여부,,,,,,,
row-579,unmapped_inference,RTM_RSCD,SAM_STF,,RTM REASON CODE,미정사유코드,,,,,,,
row-36,unmapped_inference,CRRNM,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,CRRNM,미정,,,,,,,
row-545,unmapped_inference,RV_AVAMT,SAM_SELF_CR,,RECEIVE AVAMT,수납미정,,,,,,,
row-325,unmapped_inference,ET_NVGTN_ARENM,INS_INS_CR,계약_보험계약,ETCETERA NVGTN ARENM,기타미정,,,,,,,
row-551,unmapped_inference,MDF_DTHMS,SAM_SELF_CR,,MODIFY DTHMS,수정미정,,,,,,,
row-391,unmapped_inference,TX_PF_GD_CSFCD,INS_INS_CR,계약_보험계약,TX PREFERRED PRODUCT CLASSIFICATION CODE,미정우대상품분류코드,,,,,,,
row-164,unmapped_inference,RTN_FLGCD,INS_INCM_PRM,계약_수입보험료,RTN FLAG CODE,미정구분코드,,,,,,,
row-384,unmapped_inference,AN_PY_GIRT,INS_INS_CR,계약_보험계약,AN PAYMENT GIRT,미정지급미정,,,,,,,
row-248,unmapped_inference,FMLCT,INS_INS_CR,계약_보험계약,FMLCT,미정,,,,,,,
row-230,unmapped_inference,CMPG_BJ_YN,INS_INS_CR,계약_보험계약,CMPG TARGET YES OR NO,미정대상여부,,,,,,,
row-314,unmapped_inference,NKOR_RS_YN,INS_INS_CR,계약_보험계약,NKOR RS YES OR NO,미정여부,,,,,,,
row-110,mapping_ambiguity,SB_PRM,INS_CVR_INCM_PRM,계약_담보수입보험료,SUBSTITUTION PREMIUM,대체보험료,,,,,,,
row-285,unmapped_inference,XACD,INS_INS_CR,계약_보험계약,XACD,미정,,,,,,,
row-147,mapping_ambiguity,BA_CVR_PRM,INS_INCM_PRM,계약_수입보험료,BASIC COVERAGE PREMIUM,기본담보보험료,,,,,,,
row-361,unmapped_inference,CR_OBJNM,INS_INS_CR,계약_보험계약,CONTRACT OBJNM,계약미정,,,,,,,
row-412,deterministic,GR_CTMNO,INS_INS_CR,계약_보험계약,GROUP CUSTOMER NUMBER,단체고객번호,,,,,,,
row-382,unmapped_inference,ANNU_AN_PY_CT,INS_INS_CR,계약_보험계약,ANNUAL AN PAYMENT COUNT,년간미정지급건수,,,,,,,
row-87,mapping_ambiguity,BA_PRM,INS_CVR_INCM_PRM,계약_담보수입보험료,BASIC PREMIUM,기본보험료,,,,,,,
