source_id,review_stratum,컬럼명,테이블명,테이블설명,영문 Full Name,한글속성명,business_semantic_accuracy,meaning_completeness,korean_naturalness,terminology_consistency,business_ambiguity_safety,severity,comment
row-244,deterministic,PS_CST_YN,INS_INS_CR,계약_보험계약,PERSON COST TOTAL YES OR NO,직원비용총여부,,,,,,,
row-602,deterministic,ONFML_PF_YN,SAM_STF,,ONE FAMILY PREFERRED YES OR NO,한가족우대여부,,,,,,,
row-286,deterministic,XC_CYCCD,INS_INS_CR,계약_보험계약,SURCHARGE CYCLE CODE,할증주기코드,,,,,,,
row-683,deterministic,EMP_INS_LOSDT,SAM_STF,,EMPLOYMENT INSURANCE LOSS DATE,고용보험상실일자,,,,,,,
row-689,deterministic,PURT_NWFAC_YN,SAM_STF,,PURE NEW FACE YES OR NO,순수신인여부,,,,,,,
row-679,deterministic,EMP_INS_FR_CQDT,SAM_STF,,EMPLOYMENT INSURANCE FIRST ACQUISITION DATE,고용보험최초취득일자,,,,,,,
row-393,deterministic,CV_YN,INS_INS_CR,계약_보험계약,COVERAGE YES OR NO,자기여부,,,,,,,
row-141,deterministic,CONDT_T_PRM,INS_INCM_PRM,계약_수입보험료,CO-UNDERWRITING TOTAL PREMIUM,공동인수총보험료,,,,,,,
row-375,deterministic,DFR_TRM,INS_INS_CR,계약_보험계약,DEPARTMENT FIRST TERM,과최초기간,,,,,,,
row-560,segmentation_ambiguity,HMPAG_ADR,SAM_STF,,HOMEPAGE ADDRESS,홈페이지주소,,,,,,,
row-221,segmentation_ambiguity,INS_DAYS,INS_INS_CR,계약_보험계약,INSURANCE DAY COUNT,보험일수,,,,,,,
row-256,segmentation_ambiguity,RGLT_VLTCD,INS_INS_CR,계약_보험계약,REGULATION VIOLATION CODE,법규위반코드,,,,,,,
row-39,segmentation_ambiguity,IMU_YN,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,EXEMPTION YES OR NO,면책여부,,,,,,,
row-577,segmentation_ambiguity,CLPCD,SAM_STF,,CLASS POSITION CODE,직급코드,,,,,,,
row-638,segmentation_ambiguity,ADM_ORGN_WRK_NDDT,SAM_STF,,ADMINISTRATION ORGANIZATION WORK END DATE,관리조직근무종료일자,,,,,,,
row-412,segmentation_ambiguity,GR_CTMNO,INS_INS_CR,계약_보험계약,GROUP CUSTOMER NUMBER,단체고객번호,,,,,,,
row-598,segmentation_ambiguity,CLUB_MBR_GRD_NDDT,SAM_STF,,CLUB MEMBER GRADE END DATE,클럽멤버등급종료일자,,,,,,,
row-610,segmentation_ambiguity,AGY_PNTCD,SAM_STF,,AGENCY PERSONALITY CODE,대리점인격코드,,,,,,,
row-655,segmentation_ambiguity,WRKPL_CD,SAM_STF,,WORKPLACE CODE,근무지코드,,,,,,,
row-535,mapping_ambiguity,NW_YN,SAM_SELF_CR,,NEW YES OR NO,신여부,,,,,,,
row-282,mapping_ambiguity,RPBL_INS_PLYNO,INS_INS_CR,계약_보험계약,LIABILITY INSURANCE POLICY NUMBER,책임보험증권번호,,,,,,,
row-252,mapping_ambiguity,DC_XC_AP_FLGCD,INS_INS_CR,계약_보험계약,DISCOUNT SURCHARGE APPLICATION FLAG CODE,할인할증적용구분코드,,,,,,,
row-248,mapping_ambiguity,FMLCT,INS_INS_CR,계약_보험계약,FAMILY COUNT,가족건수,,,,,,,
row-160,mapping_ambiguity,CVR_PRM_DISBJ_YN,INS_INCM_PRM,계약_수입보험료,COVERAGE PREMIUM DEPARTMENT INSURED TARGET YES OR NO,담보보험료과가입대상여부,,,,,,,
row-237,mapping_ambiguity,AGMT_AQR_RT_FLGCD,INS_INS_CR,계약_보험계약,AGREEMENT ACQUISITION RATE FLAG CODE,협정구득요율구분코드,,,,,,,
row-585,mapping_ambiguity,BZ_ATR_CHDT,SAM_STF,,BUSINESS ATTRIBUTE CHANGE DATE,영업속성변경일자,,,,,,,
row-477,mapping_ambiguity,ORG_FLGCD,SAM_ORG,,ORGANIZATION FLAG CODE,기관구분코드,,,,,,,
row-370,mapping_ambiguity,ND_RTAMT_PY_TPCD,INS_INS_CR,계약_보험계약,END RETURN AMOUNT PAYMENT TYPE CODE,종료환급금지급유형코드,,,,,,,
row-204,mapping_ambiguity,FNL_CR_ST_CHDT,INS_INS_CR,계약_보험계약,FINAL CONTRACT STANDARD CHANGE DATE,최종계약기준변경일자,,,,,,,
row-71,mapping_ambiguity,CR_DT_STCD,INS_CR_ST_CRR,계약_계약상태이력,CONTRACT DAY STATUS CODE,계약일상태코드,,,,,,,
row-651,mapping_ambiguity,FIRE_STFNO,SAM_STF,,FIRE SPECIAL STAFF NUMBER,화특직원번호,,,,,,,
row-479,mapping_ambiguity,ORG_SPCD,SAM_ORG,,ORGANIZATION SPECIFIC CODE,기관특성코드,,,,,,,
row-555,mapping_ambiguity,STADT,SAM_STF,,STATUS DAY,상태일,,,,,,,
row-629,mapping_ambiguity,INDC_STFNO,SAM_STF,,INDUCER STAFF NUMBER,유치자직원번호,,,,,,,
row-516,unmapped_inference,SFP_ORG_FLGCD,SAM_ORG,,SFP ORGANIZATION FLAG CODE,미정기관구분코드,,,,,,,
row-33,unmapped_inference,AISCD_2,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,A INSURED CODE 2,미정가입코드2,,,,,,,
row-508,unmapped_inference,FR_RGT_CMPCD,SAM_ORG,,FIRST RG TOTAL COMPANY CODE,최초미정총회사코드,,,,,,,
row-490,unmapped_inference,RCAPM_ORG_YN,SAM_ORG,,RECEIPT APPLICATION M ORGANIZATION YES OR NO,액적용미정기관여부,,,,,,,
row-686,unmapped_inference,MOBL_APO_SIGN_YN,SAM_STF,,MOBL APPOINTMENT SIGNATURE YES OR NO,미정위촉서명여부,,,,,,,
row-387,unmapped_inference,TX_PFAMT,INS_INS_CR,계약_보험계약,TOTAL X PREFERRED AMOUNT,총미정우대금액,,,,,,,
row-32,unmapped_inference,AISCD_1,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,A INSURED CODE 1,미정가입코드1,,,,,,,
row-233,unmapped_inference,CRYCD,INS_INS_CR,계약_보험계약,CONTRACT Y CODE,계약미정코드,,,,,,,
row-389,unmapped_inference,TX_PF_CNCD,INS_INS_CR,계약_보험계약,TOTAL X PREFERRED CANCELLATION CODE,총미정우대해약코드,,,,,,,
row-313,unmapped_inference,CC_PRM,INS_INS_CR,계약_보험계약,CC PREMIUM,미정보험료,,,,,,,
row-30,unmapped_inference,DMGE_CARNO,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,DIRECT MAIL GE CAR NUMBER,미정차량번호,,,,,,,
row-274,unmapped_inference,SNG_CR_FLGCD,INS_INS_CR,계약_보험계약,SERIAL NUMBER G CONTRACT FLAG CODE,순번미정계약구분코드,,,,,,,
row-567,unmapped_inference,INCB_RSCD,SAM_STF,,INCB REASON CODE,미정사유코드,,,,,,,
row-262,unmapped_inference,CO_OBJ_ASNO,INS_INS_CR,계약_보험계약,CO OBJECT ASSIGNMENT NUMBER,미정물건배정번호,,,,,,,
row-279,unmapped_inference,B_SCT_CT,INS_INS_CR,계약_보험계약,B SECTION COUNT,미정구간건수,,,,,,,
row-548,duplicate_context,INP_USR_ID,SAM_SELF_CR,,INPUT USER IDENTIFIER,입력사용자,,,,,,,
row-95,duplicate_context,PYM_DUDT,INS_CVR_INCM_PRM,계약_담보수입보험료,PAYMENT DEPARTMENT U DAY,납입과미정일,,,,,,,
row-123,duplicate_context,AP_PRM,INS_INCM_PRM,계약_수입보험료,APPLICATION PREMIUM,적용보험료,,,,,,,
row-419,duplicate_context,MDF_DTHMS,INS_INS_CR,계약_보험계약,MODIFY DAY TIME,수정일시,,,,,,,
row-447,duplicate_context,FNL_LOAD_DTHMS,INS_INS_CR,계약_보험계약,FINAL LOAD DAY TIME,최종적재일시,,,,,,,
row-4,review_needed,TLM_OPN_HMS,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,TELEGRAM MESSAGE OPEN TIME,전문개시,,,,,,,
row-2,review_needed,SCSSN_YN,CUS_CTM,고객_통합고객_TOBE,S COST SERIAL NUMBER YES OR NO,미정비용순번여부,,,,,,,
row-6,review_needed,TLM_TS_SEQNO,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,TELEGRAM MESSAGE TOTAL S SEQUENCE NUMBER,전문총미정순번,,,,,,,
row-3,review_needed,TLM_OPNDT,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,TELEGRAM MESSAGE OPEN DETAIL,전문개시상세,,,,,,,
row-5,review_needed,TLM_ADMNO,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,TELEGRAM MESSAGE ADMINISTRATION NUMBER,전문관리번호,,,,,,,
row-668,unmapped_inference,BNC_BR_SPCD,SAM_STF,,BUSINESS TYPE C BRANCH SPECIFIC CODE,업종미정지점특성코드,,,,,,,
