source_id,review_stratum,컬럼명,테이블명,테이블설명,영문 Full Name,한글속성명,business_semantic_accuracy,meaning_completeness,korean_naturalness,terminology_consistency,business_ambiguity_safety,severity,comment
row-502,deterministic,TM_KNDCD,SAM_ORG,,TEAM KIND CODE,팀종류코드,,,,,,,
row-45,deterministic,HSP_DAYS,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,HOSPITALIZATION DAY COUNT,입원일수,,,,,,,
row-330,deterministic,SPCL_TR_DST,INS_INS_CR,계약_보험계약,SPECIAL TRANSPORT DISTANCE,특수운송거리,,,,,,,
row-657,deterministic,BROF_CD,SAM_STF,,BRANCH OFFICE CODE,출장소코드,,,,,,,
row-231,deterministic,NRDCT,INS_INS_CR,계약_보험계약,INSURED PERSON COUNT,피보험자수,,,,,,,
row-530,deterministic,FML_RSNO,SAM_SELF_CR,,FAMILY RESIDENT REGISTRATION NUMBER,가족주민번호,,,,,,,
row-606,deterministic,ATCH_YN,SAM_STF,,EXCLUSIVE YES OR NO,전속여부,,,,,,,
row-464,deterministic,SEXCD,SAM_IFRS_STF_MMCLS,,SEX CODE,성별코드,,,,,,,
row-15,deterministic,PY_RSCD,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,PAYMENT REASON CODE,지급사유코드,,,,,,,
row-331,deterministic,TR_DAYS,INS_INS_CR,계약_보험계약,TRANSPORT DAY COUNT,운송일수,,,,,,,
row-222,mapping_ambiguity,CONDT_T_AP_PRM,INS_INS_CR,계약_보험계약,CO-UNDERWRITING TOTAL APPROVAL PREMIUM,공동인수총승인보험료,,,,,,,
row-477,mapping_ambiguity,ORG_FLGCD,SAM_ORG,,ORGANIZATION FLAG CODE,기관구분코드,,,,,,,
row-643,mapping_ambiguity,CRNT_ORGCD,SAM_STF,,CURRENT ORGANIZATION CODE,현재기관코드,,,,,,,
row-102,mapping_ambiguity,TRT_AP_CVRCD,INS_CVR_INCM_PRM,계약_담보수입보험료,RIDER APPLICATION COVERAGE CODE,특약적용담보코드,,,,,,,
row-536,mapping_ambiguity,DH_HDQT_ORGCD,SAM_SELF_CR,,HANDLING HEADQUARTERS ORGANIZATION CODE,취급본부기관코드,,,,,,,
