source_id,review_stratum,컬럼명,테이블명,테이블설명,영문 Full Name,한글속성명,business_semantic_accuracy,meaning_completeness,korean_naturalness,terminology_consistency,business_ambiguity_safety,severity,comment
row-330,deterministic,SPCL_TR_DST,INS_INS_CR,계약_보험계약,SPECIAL TRANSPORT DISTANCE,특수운송거리,,,,,,,
row-393,deterministic,CV_YN,INS_INS_CR,계약_보험계약,COVERAGE YES OR NO,자기여부,,,,,,,
row-39,deterministic,IMU_YN,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,EXEMPTION YES OR NO,면책여부,,,,,,,
row-560,deterministic,HMPAG_ADR,SAM_STF,,HOMEPAGE ADDRESS,홈페이지주소,,,,,,,
row-149,deterministic,CU_PRM,INS_INCM_PRM,계약_수입보험료,ACCUMULATION PREMIUM,적립보험료,,,,,,,
row-547,deterministic,MDF_CV_PRM,SAM_SELF_CR,,MODIFY COVERAGE PREMIUM,수정자기보험료,,,,,,,
row-655,deterministic,WRKPL_CD,SAM_STF,,WORKPLACE CODE,근무지코드,,,,,,,
row-625,deterministic,LTRM_AW_GPCD,SAM_STF,,LONG TERM ALLOWANCE GROUP CODE,장기수당그룹코드,,,,,,,
row-141,deterministic,CONDT_T_PRM,INS_INCM_PRM,계약_수입보험료,CO-UNDERWRITING TOTAL PREMIUM,공동인수총보험료,,,,,,,
row-401,deterministic,FML_AVG_INJR_RNKCD,INS_INS_CR,계약_보험계약,FAMILY AVERAGE INJURY CLASS CODE,가족평균상해급수코드,,,,,,,
row-505,segmentation_ambiguity,ARE_FLGCD,SAM_ORG,,AREA FLAG CODE,지역구분코드,,,,,,,
row-264,segmentation_ambiguity,BFCR_IKDCD,INS_INS_CR,계약_보험계약,BEFORE CONTRACT INSURANCE KIND CODE,전계약보종코드,,,,,,,
row-151,segmentation_ambiguity,DCBF_CU_PRM,INS_INCM_PRM,계약_수입보험료,BEFORE DISCOUNT ACCUMULATION PREMIUM,할인전적립보험료,,,,,,,
row-354,segmentation_ambiguity,XC_CTMNO,INS_INS_CR,계약_보험계약,SURCHARGE CUSTOMER NUMBER,할증고객번호,,,,,,,
row-663,segmentation_ambiguity,MTHR_AGY_FLGCD,SAM_STF,,PARENT AGENCY FLAG CODE,모대리점구분코드,,,,,,,
row-269,segmentation_ambiguity,BFCR_APRT,INS_INS_CR,계약_보험계약,BEFORE CONTRACT APPLICATION RATE,전계약적용율,,,,,,,
row-503,segmentation_ambiguity,VL_GP_FLGCD,SAM_ORG,,VALUATION GROUP FLAG CODE,평가그룹구분코드,,,,,,,
row-97,segmentation_ambiguity,VALD_CLSDT,INS_CVR_INCM_PRM,계약_담보수입보험료,VALID CLOSE DATE,유효종기일자,,,,,,,
row-81,segmentation_ambiguity,CVRCD,INS_CVR_INCM_PRM,계약_담보수입보험료,COVERAGE CODE,담보코드,,,,,,,
row-468,segmentation_ambiguity,ORGNM,SAM_ORG,,ORGANIZATION NAME,기관명,,,,,,,
row-121,mapping_ambiguity,PYP_T_SEQ,INS_INCM_PRM,계약_수입보험료,INSTALLMENT PAYMENT TOTAL SEQUENCE,분납총회차,,,,,,,
row-478,mapping_ambiguity,ORG_TPCD,SAM_ORG,,ORGANIZATION TYPE CODE,기관유형코드,,,,,,,
row-406,mapping_ambiguity,DRVE_TYCD,INS_INS_CR,계약_보험계약,DRIVE TYPE CODE,운전형태코드,,,,,,,
row-452,mapping_ambiguity,CHN_DT_FLGCD,SAM_IFRS_STF_MMCLS,,CHANNEL DAY FLAG CODE,채널일구분코드,,,,,,,
row-654,mapping_ambiguity,SB_STFNO,SAM_STF,,SUBSTITUTION STAFF NUMBER,대체직원번호,,,,,,,
row-301,mapping_ambiguity,STDSB_RK_GRDCD,INS_INS_CR,계약_보험계약,STANDARD SUBSTITUTION RISK GRADE CODE,기준대체위험등급코드,,,,,,,
row-246,mapping_ambiguity,ONW_CR_FLGCD,INS_INS_CR,계약_보험계약,OLD AND NEW CONTRACT FLAG CODE,신구계약구분코드,,,,,,,
row-47,mapping_ambiguity,OTP_CT,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,OUTPATIENT COUNT,통원건수,,,,,,,
row-477,mapping_ambiguity,ORG_FLGCD,SAM_ORG,,ORGANIZATION FLAG CODE,기관구분코드,,,,,,,
row-218,mapping_ambiguity,INS_ST_HMS,INS_INS_CR,계약_보험계약,INSURANCE STANDARD TIME,보험기준시,,,,,,,
row-311,mapping_ambiguity,DMGRT_MD_CFC,INS_INS_CR,계약_보험계약,DAMAGE RATE MODIFICATION COEFFICIENT,손해율조정계수,,,,,,,
row-277,mapping_ambiguity,DC_XC_GRDCD,INS_INS_CR,계약_보험계약,DISCOUNT SURCHARGE GRADE CODE,할인할증등급코드,,,,,,,
row-643,mapping_ambiguity,CRNT_ORGCD,SAM_STF,,CURRENT ORGANIZATION CODE,현재기관코드,,,,,,,
row-504,mapping_ambiguity,MNCS_GP_FLGCD,SAM_ORG,,MAIN COST GROUP FLAG CODE,주비용그룹구분코드,,,,,,,
row-572,mapping_ambiguity,DTYCD,SAM_STF,,POSITION CODE,직책코드,,,,,,,
row-124,unmapped_inference,DP_CASCD,INS_INCM_PRM,계약_수입보험료,DP C ASSIGNMENT CODE,미정배정코드,,,,,,,
row-325,unmapped_inference,ET_NVGTN_ARENM,INS_INS_CR,계약_보험계약,ETCETERA NVGTN AREA NAME,기타미정지역명,,,,,,,
row-299,unmapped_inference,SSNG_CMPNM,INS_INS_CR,계약_보험계약,S SERIAL NUMBER G COMPANY NAME,미정순번미정회사명,,,,,,,
row-674,unmapped_inference,ASSO_RGT_KNDCD,SAM_STF,,ASSIGNMENT SO RGT KIND CODE,배정미정종류코드,,,,,,,
row-381,unmapped_inference,AN_PY_TRM,INS_INS_CR,계약_보험계약,AN PAYMENT TERM,미정지급기간,,,,,,,
