source_id,review_stratum,컬럼명,테이블명,테이블설명,영문 Full Name,한글속성명,business_semantic_accuracy,meaning_completeness,korean_naturalness,terminology_consistency,business_ambiguity_safety,severity,comment
row-547,deterministic,MDF_CV_PRM,SAM_SELF_CR,,MODIFY COVERAGE PREMIUM,수정자기보험료,,,,,,,
row-655,deterministic,WRKPL_CD,SAM_STF,,WORKPLACE CODE,근무지코드,,,,,,,
row-286,deterministic,XC_CYCCD,INS_INS_CR,계약_보험계약,SURCHARGE CYCLE CODE,할증주기코드,,,,,,,
row-330,deterministic,SPCL_TR_DST,INS_INS_CR,계약_보험계약,SPECIAL TRANSPORT DISTANCE,특수운송거리,,,,,,,
row-464,deterministic,SEXCD,SAM_IFRS_STF_MMCLS,,SEX CODE,성별코드,,,,,,,
row-141,deterministic,CONDT_T_PRM,INS_INCM_PRM,계약_수입보험료,CO-UNDERWRITING TOTAL PREMIUM,공동인수총보험료,,,,,,,
row-513,deterministic,REF_IT,SAM_ORG,,REFERENCE ITEM,참고항목,,,,,,,
row-657,deterministic,BROF_CD,SAM_STF,,BRANCH OFFICE CODE,출장소코드,,,,,,,
row-610,deterministic,AGY_PNTCD,SAM_STF,,AGENCY PERSONALITY CODE,대리점인격코드,,,,,,,
row-150,deterministic,FLPY_CVR_TRT_PRM,INS_INCM_PRM,계약_수입보험료,FULL PAYMENT COVERAGE RIDER PREMIUM,일시납담보특약보험료,,,,,,,
row-477,mapping_ambiguity,ORG_FLGCD,SAM_ORG,,ORGANIZATION FLAG CODE,기관구분코드,,,,,,,
row-268,mapping_ambiguity,BFCR_INS_CLSTR,INS_INS_CR,계약_보험계약,BEFORE CONTRACT INSURANCE CLOSING TERM,전계약보험종기,,,,,,,
row-444,mapping_ambiguity,ND_SEP_PY_MTDCD,INS_INS_CR,계약_보험계약,END SEPARATE PAYMENT METHOD CODE,종료분리지급방법코드,,,,,,,
row-403,mapping_ambiguity,FML_AVG_DRVE_TYCD,INS_INS_CR,계약_보험계약,FAMILY AVERAGE DRIVE TYPE CODE,가족평균운전형태코드,,,,,,,
row-428,mapping_ambiguity,GU_FIRE_GDCD,INS_INS_CR,계약_보험계약,OLD FIRE SPECIAL PRODUCT CODE,구화특상품코드,,,,,,,
row-482,mapping_ambiguity,ORG_STBDT,SAM_ORG,,ORGANIZATION ESTABLISHMENT DAY,기관개설일,,,,,,,
row-202,mapping_ambiguity,FNL_CR_STCD,INS_INS_CR,계약_보험계약,FINAL CONTRACT STATUS CODE,최종계약상태코드,,,,,,,
row-13,mapping_ambiguity,CRDIS_PLYNO,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,CARD INSURED POLICY NUMBER,카드가입증권번호,,,,,,,
row-651,mapping_ambiguity,FIRE_STFNO,SAM_STF,,FIRE SPECIAL STAFF NUMBER,화특직원번호,,,,,,,
row-642,mapping_ambiguity,APO_FLG_DTCD,SAM_STF,,APPOINTMENT FLAG DETAIL CODE,위촉구분세부코드,,,,,,,
row-663,mapping_ambiguity,MTHR_AGY_FLGCD,SAM_STF,,PARENT AGENCY FLAG CODE,모대리점구분코드,,,,,,,
row-583,mapping_ambiguity,INTR_TPCD,SAM_STF,,INTRODUCTION TYPE CODE,도입유형코드,,,,,,,
row-409,mapping_ambiguity,SB_PYM_RQ_YN,INS_INS_CR,계약_보험계약,SUBSTITUTION PAYMENT REQUEST YES OR NO,대체납입요청여부,,,,,,,
row-82,mapping_ambiguity,CVR_SEQNO,INS_CVR_INCM_PRM,계약_담보수입보험료,COVERAGE SEQUENCE NUMBER,담보순번,,,,,,,
row-640,mapping_ambiguity,SLCR_FLGCD,SAM_STF,,SOLAR OR LUNAR FLAG CODE,양음구분코드,,,,,,,
row-385,unmapped_inference,TX_PF_FLGCD,INS_INS_CR,계약_보험계약,TAX PREFERRED FLAG CODE,세금우대구분코드,,,,,,,
row-627,unmapped_inference,BRC_ORGCD,SAM_STF,,BRANCH ORGANIZATION CODE,지점기관코드,,,,,,,
row-125,unmapped_inference,DP_DT_CASCD,INS_INCM_PRM,계약_수입보험료,DEPOSIT DATE CASE CODE,입금일자사유코드,,,,,,,
row-29,unmapped_inference,CRDIS_DMGIT_FLGCD,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,CREDIT DISPUTE DAMAGE ITEM FLAG CODE,신용분쟁손해항목구분코드,,,,,,,
row-438,unmapped_inference,Y1_CLM_YN,INS_INS_CR,계약_보험계약,YEAR 1 CLAIM YES OR NO,1년사고여부,,,,,,,
row-265,unmapped_inference,BFCR_YEAR,INS_INS_CR,계약_보험계약,BEFORE CONTRACT YEAR,전계약연도,,,,,,,
row-261,unmapped_inference,GN_CO_OBJ_FLGCD,INS_INS_CR,계약_보험계약,GENERAL COMPANY OBJECT FLAG CODE,일반회사물건구분코드,,,,,,,
row-496,unmapped_inference,JRD_UOFCD,SAM_ORG,,JUDGMENT UNIT OF CODE,판결단위코드,,,,,,,
row-470,unmapped_inference,ORG_SHTNM,SAM_ORG,,ORGANIZATION SHORT NAME,기관약명,,,,,,,
row-415,unmapped_inference,GDXPN_SS_BJ_YN,INS_INS_CR,계약_보험계약,GOODS EXPANSION SUBSCRIPTION TARGET YES OR NO,상품확장구독대상여부,,,,,,,
row-360,unmapped_inference,PRVSN_DCN_FLGCD,INS_INS_CR,계약_보험계약,PROVISION DISCOUNT FLAG CODE,준비금할인구분코드,,,,,,,
row-507,unmapped_inference,TRN_TM_FLGCD,SAM_ORG,,TRANSACTION TEAM FLAG CODE,거래팀구분코드,,,,,,,
row-612,unmapped_inference,OFFC_ACCPT_FLGCD,SAM_STF,,OFFICER ACCEPTANCE FLAG CODE,담당자승인구분코드,,,,,,,
row-559,unmapped_inference,MAIL_DOMN,SAM_STF,,EMAIL DOMAIN,이메일도메인,,,,,,,
row-437,unmapped_inference,Y1_CLM_CT,INS_INS_CR,계약_보험계약,YEAR 1 CLAIM COUNT,1년사고건수,,,,,,,
row-486,duplicate_context,ACTNO,SAM_ORG,,ACCOUNT NUMBER,구좌번호,,,,,,,
row-19,duplicate_context,INS_ST,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,INSURANCE STATUS,보험상태,,,,,,,
row-67,duplicate_context,VALD_NDS_YN,INS_CR_ST_CRR,계약_계약상태이력,VALID ENDORSEMENT YES OR NO,유효배서여부,,,,,,,
row-552,duplicate_context,FNL_LOAD_DTHMS,SAM_SELF_CR,,FINAL LOAD DATE TIME,최종적재일시,,,,,,,
row-20,duplicate_context,INS_CLSTR,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,INSURANCE CLOSING TERM,보험종기,,,,,,,
row-3,review_needed,TLM_OPNDT,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,TELEGRAM MESSAGE OPEN DETAIL,전문개시상세,,,,,,,
row-5,review_needed,TLM_ADMNO,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,TELEGRAM MESSAGE ADMINISTRATION NUMBER,전문관리번호,,,,,,,
row-2,review_needed,SCSSN_YN,CUS_CTM,고객_통합고객_TOBE,SOCIAL SECURITY NUMBER YES OR NO,주민등록번호여부,,,,,,,
