source_id,review_stratum,컬럼명,테이블명,테이블설명,영문 Full Name,한글속성명,business_semantic_accuracy,meaning_completeness,korean_naturalness,terminology_consistency,business_ambiguity_safety,severity,comment
row-655,deterministic,WRKPL_CD,SAM_STF,,WORKPLACE CODE,근무지코드,,,,,,,
row-331,deterministic,TR_DAYS,INS_INS_CR,계약_보험계약,TRANSPORT DAY COUNT,운송일수,,,,,,,
row-635,deterministic,FNL_EDBCD,SAM_STF,,FINAL EDUCATION CODE,최종학력코드,,,,,,,
row-530,deterministic,FML_RSNO,SAM_SELF_CR,,FAMILY RESIDENT REGISTRATION NUMBER,가족주민번호,,,,,,,
row-679,deterministic,EMP_INS_FR_CQDT,SAM_STF,,EMPLOYMENT INSURANCE FIRST ACQUISITION DATE,고용보험최초취득일자,,,,,,,
row-610,deterministic,AGY_PNTCD,SAM_STF,,AGENCY PERSONALITY CODE,대리점인격코드,,,,,,,
row-15,deterministic,PY_RSCD,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,PAYMENT REASON CODE,지급사유코드,,,,,,,
row-271,deterministic,DVPNS_JBCD,INS_INS_CR,계약_보험계약,DEVELOPMENT INSTITUTE JOB CODE,개발원직업코드,,,,,,,
row-395,deterministic,GR_DSCRT,INS_INS_CR,계약_보험계약,GROUP DISCOUNT RATE,단체할인율,,,,,,,
row-39,deterministic,IMU_YN,INS_CRDIS_PY_INFO_TLM_INQ,계약_신용정보원지급정보조회전문상세조회,EXEMPTION YES OR NO,면책여부,,,,,,,
row-134,segmentation_ambiguity,MNCD,INS_INCM_PRM,계약_수입보험료,MONEY CODE,화폐코드,,,,,,,
row-588,segmentation_ambiguity,PSN_GRD_NDDT,SAM_STF,,PERSONAL GRADE END DATE,개인등급종료일자,,,,,,,
row-468,segmentation_ambiguity,ORGNM,SAM_ORG,,ORGANIZATION NAME,기관명,,,,,,,
row-583,segmentation_ambiguity,INTR_TPCD,SAM_STF,,INTRODUCTION TYPE CODE,도입유형코드,,,,,,,
row-586,segmentation_ambiguity,PSN_GRDCD,SAM_STF,,PERSONAL GRADE CODE,개인등급코드,,,,,,,
row-647,mapping_ambiguity,SCIL_CRRCD,SAM_STF,,SOCIAL CAREER CODE,사회가입경력코드,,,,,,,
row-280,mapping_ambiguity,BFCR_DC_XC_GRDCD,INS_INS_CR,계약_보험계약,BEFORE CONTRACT DISCOUNT SURCHARGE GRADE CODE,전계약할인할증등급코드,,,,,,,
row-263,mapping_ambiguity,BFCR_ISCMP,INS_INS_CR,계약_보험계약,BEFORE CONTRACT INSURED COMPANY,전계약가입회사,,,,,,,
row-370,mapping_ambiguity,ND_RTAMT_PY_TPCD,INS_INS_CR,계약_보험계약,END RETURN AMOUNT PAYMENT TYPE CODE,종료환급금지급유형코드,,,,,,,
row-311,mapping_ambiguity,DMGRT_MD_CFC,INS_INS_CR,계약_보험계약,DAMAGE RATE MODIFICATION COEFFICIENT,손해율조정계수,,,,,,,
row-504,mapping_ambiguity,MNCS_GP_FLGCD,SAM_ORG,,MAIN COST GROUP FLAG CODE,주비용그룹구분코드,,,,,,,
row-228,mapping_ambiguity,CR_CHNCD,INS_INS_CR,계약_보험계약,CONTRACT CHANNEL CODE,계약채널코드,,,,,,,
row-685,mapping_ambiguity,STF_GRDCD,SAM_STF,,STAFF GRADE CODE,직원등급코드,,,,,,,
row-651,mapping_ambiguity,FIRE_STFNO,SAM_STF,,FIRE SPECIAL STAFF NUMBER,화특직원번호,,,,,,,
