source_id,테이블명,테이블설명,컬럼명,컬럼설명,한글속성명,business_semantic_accuracy,meaning_completeness,character_notation_policy,context_ambiguity_safety,terminology_consistency,naturalness_conciseness,severity,comment
row-1059,MART_CRM_CR_CVR,,RBPEQ_SPCRT_YN,도난방지장치특별요율여부,도난방지장치특별요율여부,,,,,,,,
row-832,INS_CR_CR_DT,계약_자동_계약상세,CR_SNDPL_ADR_FLGCD,계약발송지주소구분코드,계약발송지주소구분코드,,,,,,,,
row-291,INS_CR_CVR,계약_계약담보,AFGST_PRM_CCBJ_YN,보장시기이후보험료산출대상여부,보장시기이후보험료산출대상여부,,,,,,,,
row-449,INS_CR_RELPC,계약_계약관계자,IDNTY_CNF_PDTNM,신원확인대표자명,신원확인대표자명,,,,,,,,
row-13,COM_CLD,공통_카렌다,QTRNM,분기명,분기명,,,,,,,,
row-1133,MART_CRM_ORGN_MNTH_INFO,,MTHR_AGY_AREGP_NM,모대리점지역단명,모대리점지역단명,,,,,,,,
row-451,INS_CR_RELPC,계약_계약관계자,RDCH_CR_TPCD,승환계약유형코드,승환계약유형코드,,,,,,,,
row-216,INS_CR_CR_INFO,계약_계약자동차정보,CR_FUEL_FLGCD,차량연료구분코드,차량연료구분코드,,,,,,,,
row-749,INS_CR_CR_CRR,계약_자동_계약이력,AUTO_DT_SEQ,자동상세회차,자동상세회차,,,,,,,,
row-837,INS_CR_CR_DT,계약_자동_계약상세,SHTRT,단기율,단기율,,,,,,,,
row-590,SAM_AW_CC_ACHV_STF,,NM,성명,성명,,,,,,,,
row-986,INS_CR_CVR_SPC,계약_자동_담보내역,ONDS_SEQ,구배서회차,구배서회차,,,,,,,,
row-434,INS_CR_RELPC,계약_계약관계자,LICNO,면허번호,면허번호,,,,,,,,
row-780,INS_CR_CR_CRR,계약_자동_계약이력,RNTCR_CVR_SEQ,렌트카담보회차,렌트카담보회차,,,,,,,,
row-419,INS_CR_RELPC,계약_계약관계자,DMOS_FLGCD,국내외구분코드,국내외구분코드,,,,,,,,
row-31,COM_CLD,공통_카렌다,FY_HALNM,FY반기명,회계반기명,,,,,,,,
row-190,INS_CR_CR_INFO,계약_계약자동차정보,SOFA_CR_YN,SOFA차량여부,주한미군차량여부,,,,,,,,
row-697,COM_GDCD,공통_상품코드,OLD_IKDCD,OLD보종코드,구보종코드,,,,,,,,
row-32,COM_CLD,공통_카렌다,FY_QTR,FY분기,회계분기,,,,,,,,
row-1058,MART_CRM_CR_CVR,,ABS_BAG_SPCRT_YN,ABS장착특별요율여부,잠김방지제동장치장착특별요율여부,,,,,,,,
row-30,COM_CLD,공통_카렌다,FY_HALF_FLGCD,FY반기구분코드,회계반기구분코드,,,,,,,,
row-51,CUS_CTM,고객_통합고객_TOBE,SMS_RCV_YN,SMS수신여부,문자메시지수신여부,,,,,,,,
row-804,INS_CR_CR_CRR,계약_자동_계약이력,NEW_LAW_CS_SUPT_SRV_T2S,NEW법률비용지원서비스2회차,신규법률비용지원서비스2회차,,,,,,,,
row-1160,MART_INS_CR_RNWRT_CRST,,OLD_CR_CHN_MDCCD,OLD자동차채널중분류코드,구자동차채널중분류코드,,,,,,,,
row-151,CUS_CTM,고객_통합고객_TOBE,MKTG_SMS_RCV_YN,마케팅SMS수신여부,마케팅문자메시지수신여부,,,,,,,,
row-1156,MART_INS_CR_RNWRT_CRST,,OLD_OBJ_FLGCD,OLD물건구분코드,구물건구분코드,,,,,,,,
row-29,COM_CLD,공통_카렌다,FY_YRNM,FY년도명,회계년도명,,,,,,,,
row-624,SAM_AW_CC_ACHV_STF,,TMR_MNTH_CNV_HMS,TMR월통화시간,텔레마케터월통화시간,,,,,,,,
row-142,CUS_CTM,고객_통합고객_TOBE,BZFML_SMS_LMIT_YN,영업가족SMS제한여부,영업가족문자메시지제한여부,,,,,,,,
row-803,INS_CR_CR_CRR,계약_자동_계약이력,NEW_LAW_CS_SUPT_SRV_T1S,NEW법률비용지원서비스1회차,신규법률비용지원서비스1회차,,,,,,,,
row-785,INS_CR_CR_CRR,계약_자동_계약이력,HPCAR_2_CVR_SEQ,해피카2담보회차,해피카2담보회차,,,,,,,,
row-388,INS_CR_RELPC,계약_계약관계자,CRDIF_PRT32_AGRE_YN,신용정보32조동의여부,신용정보32조동의여부,,,,,,,,
row-1182,MART_LTRM_CRDIS_PY_INFO,,Y15_WTHIN_PYCT,15년이내지급건수,15년이내지급건수,,,,,,,,
row-1180,MART_LTRM_CRDIS_PY_INFO,,Y5_WTHIN_PYCT,5년이내지급건수,5년이내지급건수,,,,,,,,
