source_id,테이블명,테이블설명,컬럼명,컬럼설명,한글속성명,business_semantic_accuracy,meaning_completeness,character_notation_policy,context_ambiguity_safety,terminology_consistency,naturalness_conciseness,severity,comment
row-274,INS_CR_CVR,계약_계약담보,AUTO_RNW_AV_YN,자동갱신가능여부,자동갱신가능여부,,,,,,,,
row-1145,MART_CRM_ORGN_MNTH_INFO,,ORGN_CSF,조직분류,조직분류,,,,,,,,
row-770,INS_CR_CR_CRR,계약_자동_계약이력,PLST_MDCF_SEQ,성형치료비회차,성형치료비회차,,,,,,,,
row-442,INS_CR_RELPC,계약_계약관계자,HOT_OJ,임대차목적,임대차목적,,,,,,,,
row-57,CUS_CTM,고객_통합고객_TOBE,RGBRD_FLGCD,내외국구분코드,내외국구분코드,,,,,,,,
row-1013,MART_CRM_CRCR,,CRT_BORN_MNDY,계약자출생월일,계약자출생월일,,,,,,,,
row-53,CUS_CTM,고객_통합고객_TOBE,CNTRT_ST_RQ_YN,접촉정지요청여부,접촉정지요청여부,,,,,,,,
row-170,INS_CR_CR_INFO,계약_계약자동차정보,CR_INQNO,차량조회번호,차량조회번호,,,,,,,,
row-1133,MART_CRM_ORGN_MNTH_INFO,,MTHR_AGY_AREGP_NM,모대리점지역단명,모대리점지역단명,,,,,,,,
row-208,INS_CR_CR_INFO,계약_계약자동차정보,XCTM_DABRD_TRVL_DST,정산시계기판주행거리,정산시계기판주행거리,,,,,,,,
row-628,SAM_AW_CC_ACHV_STF,,QUF_DLGDT,자격위임일자,자격위임일자,,,,,,,,
row-166,INS_CR_CR_INFO,계약_계약자동차정보,CARNO_HNGL,차량번호한글,차량번호한글,,,,,,,,
row-459,INS_CR_RELPC,계약_계약관계자,GDINT_SESIN_AGRE_YN,상품소개민감정보동의여부,상품소개민감정보동의여부,,,,,,,,
row-510,INS_CR_RELPC_REL,계약_계약관계자관계,DE_IBNF_DVRT,사망보험금배분율,사망보험금배분율,,,,,,,,
row-1021,MART_CRM_CRCR,,FR_DHER_CD,최초취급자코드,최초취급자코드,,,,,,,,
row-154,CUS_CTM,고객_통합고객_TOBE,MKTG_DM_RCV_YN,마케팅DM수신여부,마케팅우편물수신여부,,,,,,,,
row-142,CUS_CTM,고객_통합고객_TOBE,BZFML_SMS_LMIT_YN,영업가족SMS제한여부,영업가족문자메시지제한여부,,,,,,,,
row-1160,MART_INS_CR_RNWRT_CRST,,OLD_CR_CHN_MDCCD,OLD자동차채널중분류코드,구자동차채널중분류코드,,,,,,,,
row-190,INS_CR_CR_INFO,계약_계약자동차정보,SOFA_CR_YN,SOFA차량여부,주한미군차량여부,,,,,,,,
row-804,INS_CR_CR_CRR,계약_자동_계약이력,NEW_LAW_CS_SUPT_SRV_T2S,NEW법률비용지원서비스2회차,신규법률비용지원서비스2회차,,,,,,,,
row-150,CUS_CTM,고객_통합고객_TOBE,DM_RCV_YN,DM수신여부,우편물수신여부,,,,,,,,
row-1159,MART_INS_CR_RNWRT_CRST,,OLD_BZCS_BZ_FLGCD,OLD사업비사업구분코드,구사업비사업구분코드,,,,,,,,
row-32,COM_CLD,공통_카렌다,FY_QTR,FY분기,회계분기,,,,,,,,
row-30,COM_CLD,공통_카렌다,FY_HALF_FLGCD,FY반기구분코드,회계반기구분코드,,,,,,,,
row-1158,MART_INS_CR_RNWRT_CRST,,OLD_IKD_SMCCD,OLD보종소분류코드,구보종소분류코드,,,,,,,,
row-865,INS_CR_CR_DT,계약_자동_계약상세,OLD_CATCD,OLD차종코드,구차종코드,,,,,,,,
row-29,COM_CLD,공통_카렌다,FY_YRNM,FY년도명,회계년도명,,,,,,,,
row-151,CUS_CTM,고객_통합고객_TOBE,MKTG_SMS_RCV_YN,마케팅SMS수신여부,마케팅문자메시지수신여부,,,,,,,,
row-803,INS_CR_CR_CRR,계약_자동_계약이력,NEW_LAW_CS_SUPT_SRV_T1S,NEW법률비용지원서비스1회차,신규법률비용지원서비스1회차,,,,,,,,
row-1157,MART_INS_CR_RNWRT_CRST,,OLD_IKD_MDCCD,OLD보종중분류코드,구보종중분류코드,,,,,,,,
row-680,COM_GDCD,공통_상품코드,GD_AV_3_CSFCD,상품실적3분류코드,상품실적3분류코드,,,,,,,,
row-314,INS_CR_CVR,계약_계약담보,CLMP1_IS_AMTCD,1사고당가입금액코드,1사고당가입금액코드,,,,,,,,
row-678,COM_GDCD,공통_상품코드,GD_AV_1_CSFCD,상품실적1분류코드,상품실적1분류코드,,,,,,,,
row-679,COM_GDCD,공통_상품코드,GD_AV_2_CSFCD,상품실적2분류코드,상품실적2분류코드,,,,,,,,
row-388,INS_CR_RELPC,계약_계약관계자,CRDIF_PRT32_AGRE_YN,신용정보32조동의여부,신용정보32조동의여부,,,,,,,,
row-752,INS_CR_CR_CRR,계약_자동_계약이력,CVR_BDIN2_SEQ,담보대인2회차,담보대인2회차,,,,,,,,
row-389,INS_CR_RELPC,계약_계약관계자,CRDIF_PRT33_AGRE_YN,신용정보33조동의여부,신용정보33조동의여부,,,,,,,,
row-931,INS_CR_CR_FNL,계약_자동_계약최종,BDIN2_CVR_ISYN,대인2담보가입여부,대인2담보가입여부,,,,,,,,
row-785,INS_CR_CR_CRR,계약_자동_계약이력,HPCAR_2_CVR_SEQ,해피카2담보회차,해피카2담보회차,,,,,,,,
row-555,INS_PRM_PYM_PR,,T1_PRM,1회보험료,1회보험료,,,,,,,,
row-332,INS_CR_CVR,계약_계약담보,ACT_OR_ACTCT,구좌/계좌수,계좌수,,,,,,,,
row-591,SAM_AW_CC_ACHV_STF,,APO_OR_STBDT,위촉/개설일자,위촉일자,,,,,,,,
row-592,SAM_AW_CC_ACHV_STF,,APO_OR_STB_MMTHR,위촉/개설차월,위촉차월,,,,,,,,
row-169,INS_CR_CR_INFO,계약_계약자동차정보,CHSNO_OR_TMPNO,차대번호/임시번호,차대번호,,,,,,,,
row-875,INS_CR_CR_DT,계약_자동_계약상세,CR_TYCD,차량형태코드,차량형태코드,,,,,,,,
row-742,INS_CR_CR_CRR,계약_자동_계약이력,PYM_MTDCD,납입방법코드,납입방법코드,,,,,,,,
row-267,INS_CR_CVR,계약_계약담보,PYM_CYCCD,납입주기코드,납입주기코드,,,,,,,,
row-271,INS_CR_CVR,계약_계약담보,PYM_XMP_STR_YYMM,납입면제시작년월,납입면제시작년월,,,,,,,,
row-282,INS_CR_CVR,계약_계약담보,PYM_TRM_FLGCD,납입기간구분코드,납입기간구분코드,,,,,,,,
row-174,INS_CR_CR_INFO,계약_계약자동차정보,USDCR_RT,중고차요율,중고차요율,,,,,,,,
row-566,INS_PRM_PYM_PR,,PYM_PRDT,납입예정일자,납입예정일자,,,,,,,,
row-979,INS_CR_CVR_SPC,계약_자동_담보내역,PYM_CT,납입횟수,납입횟수,,,,,,,,
row-1004,MART_CRM_CRCR,,FNL_PYM_YYMM,최종납입년월,최종납입년월,,,,,,,,
row-178,INS_CR_CR_INFO,계약_계약자동차정보,CR_TYCD,차형태코드,차량형태코드,,,,,,,,
row-251,INS_CR_CVR,계약_계약담보,INS_ST,보험시기,보험시기,,,,,,,,
row-253,INS_CR_CVR,계약_계약담보,INS_CLSTR,보험종기,보험종기,,,,,,,,
row-831,INS_CR_CR_DT,계약_자동_계약상세,CRT_NM,계약자성명,계약자성명,,,,,,,,
row-609,SAM_AW_CC_ACHV_STF,,CMPNM,회사명,회사명,,,,,,,,
row-695,COM_GDCD,공통_상품코드,IKD_SMCNM,보종소분류명,보종소분류명,,,,,,,,
row-704,INS_CR_CR_CRR,계약_자동_계약이력,UDRTK_AS_FLGCD,인수배정구분코드,인수배정구분코드,,,,,,,,
row-87,CUS_CTM,고객_통합고객_TOBE,CRPNO,법인번호,법인번호,,,,,,,,
row-601,SAM_AW_CC_ACHV_STF,,CMPCD,회사코드,회사코드,,,,,,,,
row-55,CUS_CTM,고객_통합고객_TOBE,CRDIF_UTL_AGRE_YN,신용정보활용동의여부,신용정보활용동의여부,,,,,,,,
row-594,SAM_AW_CC_ACHV_STF,,TMCD,팀코드,팀코드,,,,,,,,
row-624,SAM_AW_CC_ACHV_STF,,TMR_MNTH_CNV_HMS,TMR월통화시간,텔레마케터월통화시간,,,,,,,,
row-31,COM_CLD,공통_카렌다,FY_HALNM,FY반기명,회계반기명,,,,,,,,
row-1156,MART_INS_CR_RNWRT_CRST,,OLD_OBJ_FLGCD,OLD물건구분코드,구물건구분코드,,,,,,,,
row-697,COM_GDCD,공통_상품코드,OLD_IKDCD,OLD보종코드,구보종코드,,,,,,,,
row-1058,MART_CRM_CR_CVR,,ABS_BAG_SPCRT_YN,ABS장착특별요율여부,잠김방지제동장치장착특별요율여부,,,,,,,,
row-1146,MART_CRM_ORGN_MNTH_INFO,,SP_YN,SP여부,설계사여부,,,,,,,,
row-1161,MART_INS_CR_RNWRT_CRST,,OLD_CR_CHN_SMCCD,OLD자동차채널소분류코드,구자동차채널소분류코드,,,,,,,,
row-797,INS_CR_CR_CRR,계약_자동_계약이력,PREM_TRF_INJR_SEQ,PREMIUM교통상해회차,프리미엄교통상해회차,,,,,,,,
row-33,COM_CLD,공통_카렌다,FY_QTRNM,FY분기명,회계분기명,,,,,,,,
row-28,COM_CLD,공통_카렌다,FY_YR,FY년도,회계년도,,,,,,,,
row-869,INS_CR_CR_DT,계약_자동_계약상세,USDCR_RT,중고차율,중고차요율,,,,,,,,
row-52,CUS_CTM,고객_통합고객_TOBE,RLNM_CTFCT_FILE_PTH,실명증표파일경로,실명증표파일경로,,,,,,,,
row-244,INS_CR_CVR,계약_계약담보,ISAMT,가입금액,가입금액,,,,,,,,
row-345,INS_CR_DH_STF_CRR,계약_계약취급직원이력,DH_STF_TPCD,취급직원유형코드,취급직원유형코드,,,,,,,,
row-6,COM_CLD,공통_카렌다,MNTH,월,월,,,,,,,,
row-860,INS_CR_CR_DT,계약_자동_계약상세,CHSNO,차대번호,차대번호,,,,,,,,
