source_id,테이블명,테이블설명,컬럼명,컬럼설명,한글속성명,business_semantic_accuracy,meaning_completeness,character_notation_policy,context_ambiguity_safety,terminology_consistency,naturalness_conciseness,severity,comment
row-839,INS_CR_CR_DT,계약_자동_계약상세,IS_CRRCD,가입경력코드,가입경력코드,,,,,,,,
row-684,COM_GDCD,공통_상품코드,SOF_GDCD,감독원상품코드,감독원상품코드,,,,,,,,
row-450,INS_CR_RELPC,계약_계약관계자,IDNTY_CNF_BNNM,신원확인업종명,신원확인업종명,,,,,,,,
row-376,INS_CR_RELPC,계약_계약관계자,RELPC_TPCD,관계자유형코드,관계자유형코드,,,,,,,,
row-379,INS_CR_RELPC,계약_계약관계자,HNGL_RELNM,한글관계자명,한글관계자명,,,,,,,,
row-210,INS_CR_CR_INFO,계약_계약자동차정보,SCHND_YYCT,중고년수,중고년수,,,,,,,,
row-556,INS_PRM_PYM_PR,,CUMNY_SB_PRM,적립금대체보험료,적립금대체보험료,,,,,,,,
row-138,CUS_CTM,고객_통합고객_TOBE,DHER_RCM_RELCD,취급자추천인관계코드,취급자추천인관계코드,,,,,,,,
row-295,INS_CR_CVR,계약_계약담보,RNW_CVR_NCLM_DCAMT,갱신담보무사고할인금액,갱신담보무사고할인금액,,,,,,,,
row-318,INS_CR_CVR,계약_계약담보,NDS_PRDT,배서예정일자,배서예정일자,,,,,,,,
row-1015,MART_CRM_CRCR,,MNRPS_BORN_MNDY,주피보험자출생월일,주피보험자출생월일,,,,,,,,
row-798,INS_CR_CR_CRR,계약_자동_계약이력,DRVE_DURN_TRF_INJR_SEQ,운전중교통상해회차,운전중교통상해회차,,,,,,,,
row-427,INS_CR_RELPC,계약_계약관계자,MD_CFCAP_ENTP_YN,조정계수적용업체여부,조정계수적용업체여부,,,,,,,,
row-961,INS_CR_CVR_SPC,계약_자동_담보내역,FNL_SEQ_YN,최종회차여부,최종회차여부,,,,,,,,
row-197,INS_CR_CR_INFO,계약_계약자동차정보,DRVE_LESSN_YN,운전교습여부,운전교습여부,,,,,,,,
row-190,INS_CR_CR_INFO,계약_계약자동차정보,SOFA_CR_YN,SOFA차량여부,주한미군차량여부,,,,,,,,
row-1146,MART_CRM_ORGN_MNTH_INFO,,SP_YN,SP여부,설계사여부,,,,,,,,
row-1156,MART_INS_CR_RNWRT_CRST,,OLD_OBJ_FLGCD,OLD물건구분코드,구물건구분코드,,,,,,,,
row-51,CUS_CTM,고객_통합고객_TOBE,SMS_RCV_YN,SMS수신여부,문자메시지수신여부,,,,,,,,
row-803,INS_CR_CR_CRR,계약_자동_계약이력,NEW_LAW_CS_SUPT_SRV_T1S,NEW법률비용지원서비스1회차,신규법률비용지원서비스1회차,,,,,,,,
row-30,COM_CLD,공통_카렌다,FY_HALF_FLGCD,FY반기구분코드,회계반기구분코드,,,,,,,,
row-624,SAM_AW_CC_ACHV_STF,,TMR_MNTH_CNV_HMS,TMR월통화시간,텔레마케터월통화시간,,,,,,,,
row-154,CUS_CTM,고객_통합고객_TOBE,MKTG_DM_RCV_YN,마케팅DM수신여부,마케팅우편물수신여부,,,,,,,,
row-697,COM_GDCD,공통_상품코드,OLD_IKDCD,OLD보종코드,구보종코드,,,,,,,,
row-28,COM_CLD,공통_카렌다,FY_YR,FY년도,회계년도,,,,,,,,
row-1158,MART_INS_CR_RNWRT_CRST,,OLD_IKD_SMCCD,OLD보종소분류코드,구보종소분류코드,,,,,,,,
row-151,CUS_CTM,고객_통합고객_TOBE,MKTG_SMS_RCV_YN,마케팅SMS수신여부,마케팅문자메시지수신여부,,,,,,,,
row-1161,MART_INS_CR_RNWRT_CRST,,OLD_CR_CHN_SMCCD,OLD자동차채널소분류코드,구자동차채널소분류코드,,,,,,,,
row-29,COM_CLD,공통_카렌다,FY_YRNM,FY년도명,회계년도명,,,,,,,,
row-1157,MART_INS_CR_RNWRT_CRST,,OLD_IKD_MDCCD,OLD보종중분류코드,구보종중분류코드,,,,,,,,
row-1182,MART_LTRM_CRDIS_PY_INFO,,Y15_WTHIN_PYCT,15년이내지급건수,15년이내지급건수,,,,,,,,
row-389,INS_CR_RELPC,계약_계약관계자,CRDIF_PRT33_AGRE_YN,신용정보33조동의여부,신용정보33조동의여부,,,,,,,,
row-785,INS_CR_CR_CRR,계약_자동_계약이력,HPCAR_2_CVR_SEQ,해피카2담보회차,해피카2담보회차,,,,,,,,
row-1188,MART_LTRM_CRDIS_PY_INFO,,Y5_WTHIN_PYAMT,5년이내지급금액,5년이내지급금액,,,,,,,,
row-1193,MART_LTRM_CRDIS_PY_INFO,,Y30_WTHIN_PYAMT,30년이내지급금액,30년이내지급금액,,,,,,,,
row-981,INS_CR_CVR_SPC,계약_자동_담보내역,DTCL_2_PRM,일자별2보험료,일자별2보험료,,,,,,,,
row-681,COM_GDCD,공통_상품코드,GD_AV_4_CSFCD,상품실적4분류코드,상품실적4분류코드,,,,,,,,
row-788,INS_CR_CR_CRR,계약_자동_계약이력,LAW_SUAMT_T1S,법률지원금1회차,법률지원금1회차,,,,,,,,
row-707,INS_CR_CR_CRR,계약_자동_계약이력,NDSCD_1,배서코드1,배서코드1,,,,,,,,
row-1192,MART_LTRM_CRDIS_PY_INFO,,Y25_WTHIN_PYAMT,25년이내지급금액,25년이내지급금액,,,,,,,,
row-332,INS_CR_CVR,계약_계약담보,ACT_OR_ACTCT,구좌/계좌수,계좌수,,,,,,,,
row-591,SAM_AW_CC_ACHV_STF,,APO_OR_STBDT,위촉/개설일자,위촉일자,,,,,,,,
row-169,INS_CR_CR_INFO,계약_계약자동차정보,CHSNO_OR_TMPNO,차대번호/임시번호,차대번호,,,,,,,,
row-592,SAM_AW_CC_ACHV_STF,,APO_OR_STB_MMTHR,위촉/개설차월,위촉차월,,,,,,,,
row-875,INS_CR_CR_DT,계약_자동_계약상세,CR_TYCD,차량형태코드,차량형태코드,,,,,,,,
row-283,INS_CR_CVR,계약_계약담보,PYM_TRM,납입기간,납입기간,,,,,,,,
row-277,INS_CR_CVR,계약_계약담보,CVR_FNL_PYM_SEQ,담보최종납입회차,담보최종납입회차,,,,,,,,
row-284,INS_CR_CVR,계약_계약담보,RL_PYM_TRM,실납입기간,실납입기간,,,,,,,,
row-174,INS_CR_CR_INFO,계약_계약자동차정보,USDCR_RT,중고차요율,중고차요율,,,,,,,,
row-270,INS_CR_CVR,계약_계약담보,PYM_XMP_YN,납입면제여부,납입면제여부,,,,,,,,
