source_id,테이블명,테이블설명,컬럼명,컬럼설명,한글속성명,business_semantic_accuracy,meaning_completeness,character_notation_policy,context_ambiguity_safety,terminology_consistency,naturalness_conciseness,severity,comment
row-576,INS_PRM_PYM_PR,,CU_NPRM,적립순보험료,적립순보험료,,,,,,,,
row-11,COM_CLD,공통_카렌다,HALNM,반기명,반기명,,,,,,,,
row-647,SAM_AW_CC_ACHV_STF,,WRKPL_CD,근무지코드,근무지코드,,,,,,,,
row-789,INS_CR_CR_CRR,계약_자동_계약이력,CLMSE_SUAMT_SEQ,사고수습지원금회차,사고수습지원금회차,,,,,,,,
row-933,INS_CR_CR_FNL,계약_자동_계약최종,OBI_CVR_ISYN,자손담보가입여부,자손담보가입여부,,,,,,,,
row-793,INS_CR_CR_CRR,계약_자동_계약이력,CHD_NRDSC_AND_EDUXP_SUAMT_SEQ,자녀간병비및교육비지원금회차,자녀간병비및교육비지원금회차,,,,,,,,
row-790,INS_CR_CR_CRR,계약_자동_계약이력,HWK_SUAMT_SEQ,가사지원금회차,가사지원금회차,,,,,,,,
row-1089,MART_CRM_ORGN_MNTH_INFO,,PSTN_CHCCD,신분변동코드,신분변동코드,,,,,,,,
row-848,INS_CR_CR_DT,계약_자동_계약상세,ISPS_CRR_RT_TSM,가입자경력요율계,가입자경력요율계,,,,,,,,
row-798,INS_CR_CR_CRR,계약_자동_계약이력,DRVE_DURN_TRF_INJR_SEQ,운전중교통상해회차,운전중교통상해회차,,,,,,,,
row-53,CUS_CTM,고객_통합고객_TOBE,CNTRT_ST_RQ_YN,접촉정지요청여부,접촉정지요청여부,,,,,,,,
row-100,CUS_CTM,고객_통합고객_TOBE,HND_GRDPA_CD,장애급호코드,장애급호코드,,,,,,,,
row-208,INS_CR_CR_INFO,계약_계약자동차정보,XCTM_DABRD_TRVL_DST,정산시계기판주행거리,정산시계기판주행거리,,,,,,,,
row-856,INS_CR_CR_DT,계약_자동_계약상세,DC_XC_TSM,할인할증계,할인할증계,,,,,,,,
row-92,CUS_CTM,고객_통합고객_TOBE,CRP_TPCD,법인유형코드,법인유형코드,,,,,,,,
row-150,CUS_CTM,고객_통합고객_TOBE,DM_RCV_YN,DM수신여부,우편물수신여부,,,,,,,,
row-29,COM_CLD,공통_카렌다,FY_YRNM,FY년도명,회계년도명,,,,,,,,
row-1160,MART_INS_CR_RNWRT_CRST,,OLD_CR_CHN_MDCCD,OLD자동차채널중분류코드,구자동차채널중분류코드,,,,,,,,
row-804,INS_CR_CR_CRR,계약_자동_계약이력,NEW_LAW_CS_SUPT_SRV_T2S,NEW법률비용지원서비스2회차,신규법률비용지원서비스2회차,,,,,,,,
row-51,CUS_CTM,고객_통합고객_TOBE,SMS_RCV_YN,SMS수신여부,문자메시지수신여부,,,,,,,,
row-190,INS_CR_CR_INFO,계약_계약자동차정보,SOFA_CR_YN,SOFA차량여부,주한미군차량여부,,,,,,,,
row-1157,MART_INS_CR_RNWRT_CRST,,OLD_IKD_MDCCD,OLD보종중분류코드,구보종중분류코드,,,,,,,,
row-28,COM_CLD,공통_카렌다,FY_YR,FY년도,회계년도,,,,,,,,
row-107,CUS_CTM,고객_통합고객_TOBE,RH_TYCD,RH형태코드,알에이치형태코드,,,,,,,,
row-697,COM_GDCD,공통_상품코드,OLD_IKDCD,OLD보종코드,구보종코드,,,,,,,,
row-1161,MART_INS_CR_RNWRT_CRST,,OLD_CR_CHN_SMCCD,OLD자동차채널소분류코드,구자동차채널소분류코드,,,,,,,,
row-624,SAM_AW_CC_ACHV_STF,,TMR_MNTH_CNV_HMS,TMR월통화시간,텔레마케터월통화시간,,,,,,,,
row-151,CUS_CTM,고객_통합고객_TOBE,MKTG_SMS_RCV_YN,마케팅SMS수신여부,마케팅문자메시지수신여부,,,,,,,,
row-31,COM_CLD,공통_카렌다,FY_HALNM,FY반기명,회계반기명,,,,,,,,
row-1146,MART_CRM_ORGN_MNTH_INFO,,SP_YN,SP여부,설계사여부,,,,,,,,
row-752,INS_CR_CR_CRR,계약_자동_계약이력,CVR_BDIN2_SEQ,담보대인2회차,담보대인2회차,,,,,,,,
row-389,INS_CR_RELPC,계약_계약관계자,CRDIF_PRT33_AGRE_YN,신용정보33조동의여부,신용정보33조동의여부,,,,,,,,
row-1182,MART_LTRM_CRDIS_PY_INFO,,Y15_WTHIN_PYCT,15년이내지급건수,15년이내지급건수,,,,,,,,
row-680,COM_GDCD,공통_상품코드,GD_AV_3_CSFCD,상품실적3분류코드,상품실적3분류코드,,,,,,,,
row-681,COM_GDCD,공통_상품코드,GD_AV_4_CSFCD,상품실적4분류코드,상품실적4분류코드,,,,,,,,
row-68,CUS_CTM,고객_통합고객_TOBE,DMRCY_518_INJD_YN,민주518부상자여부,민주518부상자여부,,,,,,,,
row-679,COM_GDCD,공통_상품코드,GD_AV_2_CSFCD,상품실적2분류코드,상품실적2분류코드,,,,,,,,
row-682,COM_GDCD,공통_상품코드,GD_AV_5_CSFCD,상품실적5분류코드,상품실적5분류코드,,,,,,,,
row-1192,MART_LTRM_CRDIS_PY_INFO,,Y25_WTHIN_PYAMT,25년이내지급금액,25년이내지급금액,,,,,,,,
row-386,INS_CR_RELPC,계약_계약관계자,CRDIF_PRT23_AGRE_YN,신용정보23조동의여부,신용정보23조동의여부,,,,,,,,
row-591,SAM_AW_CC_ACHV_STF,,APO_OR_STBDT,위촉/개설일자,위촉일자,,,,,,,,
row-592,SAM_AW_CC_ACHV_STF,,APO_OR_STB_MMTHR,위촉/개설차월,위촉차월,,,,,,,,
row-332,INS_CR_CVR,계약_계약담보,ACT_OR_ACTCT,구좌/계좌수,계좌수,,,,,,,,
row-169,INS_CR_CR_INFO,계약_계약자동차정보,CHSNO_OR_TMPNO,차대번호/임시번호,차대번호,,,,,,,,
row-875,INS_CR_CR_DT,계약_자동_계약상세,CR_TYCD,차량형태코드,차량형태코드,,,,,,,,
row-284,INS_CR_CVR,계약_계약담보,RL_PYM_TRM,실납입기간,실납입기간,,,,,,,,
row-1005,MART_CRM_CRCR,,FNL_PYM_SEQ,최종납입회차,최종납입회차,,,,,,,,
row-174,INS_CR_CR_INFO,계약_계약자동차정보,USDCR_RT,중고차요율,중고차요율,,,,,,,,
row-979,INS_CR_CVR_SPC,계약_자동_담보내역,PYM_CT,납입횟수,납입횟수,,,,,,,,
row-574,INS_PRM_PYM_PR,,PYM_PR_STCD,납입예정상태코드,납입예정상태코드,,,,,,,,
row-267,INS_CR_CVR,계약_계약담보,PYM_CYCCD,납입주기코드,납입주기코드,,,,,,,,
row-276,INS_CR_CVR,계약_계약담보,CVR_FNL_PYM_YYMM,담보최종납입년월,담보최종납입년월,,,,,,,,
row-283,INS_CR_CVR,계약_계약담보,PYM_TRM,납입기간,납입기간,,,,,,,,
row-744,INS_CR_CR_CRR,계약_자동_계약이력,PYP_PYTDT,분납납입일자,분납납입일자,,,,,,,,
row-185,INS_CR_CR_INFO,계약_계약자동차정보,DSPL,배기량,배기량,,,,,,,,
row-617,SAM_AW_CC_ACHV_STF,,BZ_FML_QUFCD,영업가족자격코드,영업가족자격코드,,,,,,,,
row-157,INS_CR_CR_INFO,계약_계약자동차정보,PLYNO,증권번호,증권번호,,,,,,,,
row-713,INS_CR_CR_CRR,계약_자동_계약이력,DHER_CD,취급자코드,취급자코드,,,,,,,,
row-162,INS_CR_CR_INFO,계약_계약자동차정보,VALD_NDS_YN,유효배서여부,유효배서여부,,,,,,,,
row-609,SAM_AW_CC_ACHV_STF,,CMPNM,회사명,회사명,,,,,,,,
row-368,INS_CR_RELPC,계약_계약관계자,RELPC_SEQNO,관계자순번,관계자순번,,,,,,,,
row-173,INS_CR_CR_INFO,계약_계약자동차정보,NWCR_FLGCD,신차구분코드,신차구분코드,,,,,,,,
row-619,SAM_AW_CC_ACHV_STF,,ATCH_YN,전속여부,전속여부,,,,,,,,
row-633,SAM_AW_CC_ACHV_STF,,LTRM_AW_GPCD,장기수당그룹코드,장기수당그룹코드,,,,,,,,
row-1159,MART_INS_CR_RNWRT_CRST,,OLD_BZCS_BZ_FLGCD,OLD사업비사업구분코드,구사업비사업구분코드,,,,,,,,
row-1156,MART_INS_CR_RNWRT_CRST,,OLD_OBJ_FLGCD,OLD물건구분코드,구물건구분코드,,,,,,,,
row-32,COM_CLD,공통_카렌다,FY_QTR,FY분기,회계분기,,,,,,,,
row-33,COM_CLD,공통_카렌다,FY_QTRNM,FY분기명,회계분기명,,,,,,,,
row-30,COM_CLD,공통_카렌다,FY_HALF_FLGCD,FY반기구분코드,회계반기구분코드,,,,,,,,
row-1158,MART_INS_CR_RNWRT_CRST,,OLD_IKD_SMCCD,OLD보종소분류코드,구보종소분류코드,,,,,,,,
row-142,CUS_CTM,고객_통합고객_TOBE,BZFML_SMS_LMIT_YN,영업가족SMS제한여부,영업가족문자메시지제한여부,,,,,,,,
row-803,INS_CR_CR_CRR,계약_자동_계약이력,NEW_LAW_CS_SUPT_SRV_T1S,NEW법률비용지원서비스1회차,신규법률비용지원서비스1회차,,,,,,,,
row-1058,MART_CRM_CR_CVR,,ABS_BAG_SPCRT_YN,ABS장착특별요율여부,잠김방지제동장치장착특별요율여부,,,,,,,,
row-865,INS_CR_CR_DT,계약_자동_계약상세,OLD_CATCD,OLD차종코드,구차종코드,,,,,,,,
row-178,INS_CR_CR_INFO,계약_계약자동차정보,CR_TYCD,차형태코드,차량형태코드,,,,,,,,
row-869,INS_CR_CR_DT,계약_자동_계약상세,USDCR_RT,중고차율,중고차요율,,,,,,,,
row-951,INS_CR_CR_FNL,계약_자동_계약최종,ARE_FLGCD,지역구분코드,지역구분코드,,,,,,,,
row-201,INS_CR_CR_INFO,계약_계약자동차정보,RND_MNTCT,경과개월수,경과개월수,,,,,,,,
row-311,INS_CR_CVR,계약_계약담보,SYS_MPV_DT,제도개선일자,제도개선일자,,,,,,,,
row-207,INS_CR_CR_INFO,계약_계약자동차정보,ISTM_DABRD_TRVL_DST,가입시계기판주행거리,가입시계기판주행거리,,,,,,,,
