source_id,테이블명,테이블설명,컬럼명,컬럼설명,한글속성명,business_semantic_accuracy,meaning_completeness,character_notation_policy,context_ambiguity_safety,terminology_consistency,naturalness_conciseness,severity,comment
row-16,COM_CLD,공통_카렌다,WEEK_FLGCD,요일구분코드,요일구분코드,,,,,,,,
row-677,COM_GDCD,공통_상품코드,SL_STOP_DT,판매중지일자,판매중지일자,,,,,,,,
row-1033,MART_CRM_CRCR,,NW_RNW_FLGCD,신규갱신구분코드,신규갱신구분코드,,,,,,,,
row-866,INS_CR_CR_DT,계약_자동_계약상세,OPUS_FLGCD,운행용도구분코드,운행용도구분코드,,,,,,,,
row-840,INS_CR_CR_DT,계약_자동_계약상세,RPBLI_CRRCD,책임가입경력코드,책임가입경력코드,,,,,,,,
row-1115,MART_CRM_ORGN_MNTH_INFO,,AGY_HDQNM,대리점본부명,대리점본부명,,,,,,,,
row-128,CUS_CTM,고객_통합고객_TOBE,ONW_JB_CNF_FLGCD,신구직업확인구분코드,신구직업확인구분코드,,,,,,,,
row-499,INS_CR_RELPC_REL,계약_계약관계자관계,ST_RELPC_SEQNO,기준관계자순번,기준관계자순번,,,,,,,,
row-442,INS_CR_RELPC,계약_계약관계자,HOT_OJ,임대차목적,임대차목적,,,,,,,,
row-1132,MART_CRM_ORGN_MNTH_INFO,,MTHR_AGY_AREGP_CD,모대리점지역단코드,모대리점지역단코드,,,,,,,,
row-593,SAM_AW_CC_ACHV_STF,,FNL_CLS_YN,최종마감여부,최종마감여부,,,,,,,,
row-972,INS_CR_CVR_SPC,계약_자동_담보내역,DC_IMU_AMT,공제면책금액,공제면책금액,,,,,,,,
row-646,SAM_AW_CC_ACHV_STF,,TM_ORG_SPCD,팀기관특성코드,팀기관특성코드,,,,,,,,
row-893,INS_CR_CR_DT,계약_자동_계약상세,BRD_SLDR_YN,외국군인여부,외국군인여부,,,,,,,,
row-909,INS_CR_CR_FNL,계약_자동_계약최종,FNL_NDS_SEQ,최종배서회차,최종배서회차,,,,,,,,
row-797,INS_CR_CR_CRR,계약_자동_계약이력,PREM_TRF_INJR_SEQ,PREMIUM교통상해회차,프리미엄교통상해회차,,,,,,,,
row-190,INS_CR_CR_INFO,계약_계약자동차정보,SOFA_CR_YN,SOFA차량여부,주한미군차량여부,,,,,,,,
row-1146,MART_CRM_ORGN_MNTH_INFO,,SP_YN,SP여부,설계사여부,,,,,,,,
row-1158,MART_INS_CR_RNWRT_CRST,,OLD_IKD_SMCCD,OLD보종소분류코드,구보종소분류코드,,,,,,,,
row-29,COM_CLD,공통_카렌다,FY_YRNM,FY년도명,회계년도명,,,,,,,,
row-154,CUS_CTM,고객_통합고객_TOBE,MKTG_DM_RCV_YN,마케팅DM수신여부,마케팅우편물수신여부,,,,,,,,
row-28,COM_CLD,공통_카렌다,FY_YR,FY년도,회계년도,,,,,,,,
row-151,CUS_CTM,고객_통합고객_TOBE,MKTG_SMS_RCV_YN,마케팅SMS수신여부,마케팅문자메시지수신여부,,,,,,,,
row-1160,MART_INS_CR_RNWRT_CRST,,OLD_CR_CHN_MDCCD,OLD자동차채널중분류코드,구자동차채널중분류코드,,,,,,,,
row-1159,MART_INS_CR_RNWRT_CRST,,OLD_BZCS_BZ_FLGCD,OLD사업비사업구분코드,구사업비사업구분코드,,,,,,,,
row-30,COM_CLD,공통_카렌다,FY_HALF_FLGCD,FY반기구분코드,회계반기구분코드,,,,,,,,
row-1156,MART_INS_CR_RNWRT_CRST,,OLD_OBJ_FLGCD,OLD물건구분코드,구물건구분코드,,,,,,,,
row-150,CUS_CTM,고객_통합고객_TOBE,DM_RCV_YN,DM수신여부,우편물수신여부,,,,,,,,
row-32,COM_CLD,공통_카렌다,FY_QTR,FY분기,회계분기,,,,,,,,
row-33,COM_CLD,공통_카렌다,FY_QTRNM,FY분기명,회계분기명,,,,,,,,
row-930,INS_CR_CR_FNL,계약_자동_계약최종,BDIN1_CVR_ISYN,대인1담보가입여부,대인1담보가입여부,,,,,,,,
row-683,COM_GDCD,공통_상품코드,GD_AV_5_CSFNM,상품실적5분류명,상품실적5분류명,,,,,,,,
row-794,INS_CR_CR_CRR,계약_자동_계약이력,WKDY_FMLLV_T1S,주일가족사랑1회차,주일가족사랑1회차,,,,,,,,
row-314,INS_CR_CVR,계약_계약담보,CLMP1_IS_AMTCD,1사고당가입금액코드,1사고당가입금액코드,,,,,,,,
row-795,INS_CR_CR_CRR,계약_자동_계약이력,WKDY_FMLLV_T2S,주일가족사랑2회차,주일가족사랑2회차,,,,,,,,
row-680,COM_GDCD,공통_상품코드,GD_AV_3_CSFCD,상품실적3분류코드,상품실적3분류코드,,,,,,,,
row-931,INS_CR_CR_FNL,계약_자동_계약최종,BDIN2_CVR_ISYN,대인2담보가입여부,대인2담보가입여부,,,,,,,,
row-1181,MART_LTRM_CRDIS_PY_INFO,,Y10_WTHIN_PYCT,10년이내지급건수,10년이내지급건수,,,,,,,,
row-787,INS_CR_CR_CRR,계약_자동_계약이력,PRDM2_CVR_SEQ,대물2담보회차,대물2담보회차,,,,,,,,
row-1190,MART_LTRM_CRDIS_PY_INFO,,Y15_WTHIN_PYAMT,15년이내지급금액,15년이내지급금액,,,,,,,,
row-591,SAM_AW_CC_ACHV_STF,,APO_OR_STBDT,위촉/개설일자,위촉일자,,,,,,,,
row-332,INS_CR_CVR,계약_계약담보,ACT_OR_ACTCT,구좌/계좌수,계좌수,,,,,,,,
row-169,INS_CR_CR_INFO,계약_계약자동차정보,CHSNO_OR_TMPNO,차대번호/임시번호,차대번호,,,,,,,,
row-592,SAM_AW_CC_ACHV_STF,,APO_OR_STB_MMTHR,위촉/개설차월,위촉차월,,,,,,,,
row-174,INS_CR_CR_INFO,계약_계약자동차정보,USDCR_RT,중고차요율,중고차요율,,,,,,,,
row-414,INS_CR_RELPC,계약_계약관계자,PRM_PYM_RT,보험료납부비율,보험료납입비율,,,,,,,,
row-869,INS_CR_CR_DT,계약_자동_계약상세,USDCR_RT,중고차율,중고차요율,,,,,,,,
row-979,INS_CR_CVR_SPC,계약_자동_담보내역,PYM_CT,납입횟수,납입횟수,,,,,,,,
row-276,INS_CR_CVR,계약_계약담보,CVR_FNL_PYM_YYMM,담보최종납입년월,담보최종납입년월,,,,,,,,
row-744,INS_CR_CR_CRR,계약_자동_계약이력,PYP_PYTDT,분납납입일자,분납납입일자,,,,,,,,
row-282,INS_CR_CVR,계약_계약담보,PYM_TRM_FLGCD,납입기간구분코드,납입기간구분코드,,,,,,,,
row-283,INS_CR_CVR,계약_계약담보,PYM_TRM,납입기간,납입기간,,,,,,,,
row-359,INS_CR_DH_STF_CRR,계약_계약취급직원이력,PYM_SEQ,납입회차,납입회차,,,,,,,,
row-277,INS_CR_CVR,계약_계약담보,CVR_FNL_PYM_SEQ,담보최종납입회차,담보최종납입회차,,,,,,,,
row-253,INS_CR_CVR,계약_계약담보,INS_CLSTR,보험종기,보험종기,,,,,,,,
row-614,SAM_AW_CC_ACHV_STF,,BZ_ATRCD,영업속성코드,영업속성코드,,,,,,,,
row-55,CUS_CTM,고객_통합고객_TOBE,CRDIF_UTL_AGRE_YN,신용정보활용동의여부,신용정보활용동의여부,,,,,,,,
