source_id,테이블명,테이블설명,컬럼명,컬럼설명,한글속성명,business_semantic_accuracy,meaning_completeness,character_notation_policy,context_ambiguity_safety,terminology_consistency,naturalness_conciseness,severity,comment
row-709,INS_CR_CR_CRR,계약_자동_계약이력,NDS_DL_RST_FLGCD,배서처리결과구분코드,배서처리결과구분코드,,,,,,,,ok
row-857,INS_CR_CR_DT,계약_자동_계약상세,GR_APRT_BJYN,단체적용율대상여부,단체적용율대상여부,,,,,,,,ok
row-1136,MART_CRM_ORGN_MNTH_INFO,,MTHR_AGY_BROF_CD,모대리점출장소코드,모대리점출장소코드,,,,,,,,ok
row-782,INS_CR_CR_CRR,계약_자동_계약이력,XSTF_INJR_CAMT_SEQ,임직원상해위로금회차,임직원상해위로금회차,,,,,,,,ok
row-1164,MART_INS_CR_RNWRT_CRST,,RNW_BJ_APPRM,갱신대상적용보험료,갱신대상적용보험료,,,,,,,,ok
row-437,INS_CR_RELPC,계약_계약관계자,DRVE_CRR_YYCT,운전경력년수,운전경력년수,,,,,,,,ok
row-1166,MART_INS_CR_RNWRT_CRST,,RNW_BJ_INPRM,갱신대상수입보험료,갱신대상수입보험료,,,,,,,,ok
row-357,INS_CR_DH_STF_CRR,계약_계약취급직원이력,QTRT,지분율,지분율,,,,,,,,ok
row-88,CUS_CTM,고객_통합고객_TOBE,CLGMM_FLGCD,결산월구분코드,결산월구분코드,,,,,,,,ok
row-79,CUS_CTM,고객_통합고객_TOBE,CLODT,폐쇄일자,폐쇄일자,,,,,,,,ok
row-177,INS_CR_CR_INFO,계약_계약자동차정보,LOAD_FXQTT,적재정량,적재정량,,,,,,,,ok
row-320,INS_CR_CVR,계약_계약담보,MD_SUM_AMT,조정합산액,조정합산액,,,,,,,,ok
row-81,CUS_CTM,고객_통합고객_TOBE,BZWPL_OWN_YN,사업장소유여부,사업장소유여부,,,,,,,,ok
row-824,INS_CR_CR_DT,계약_자동_계약상세,NRDPS_SNDPL_SEQ,피보험자발송지회차,피보험자발송지회차,,,,,,,,ok
row-757,INS_CR_CR_CRR,계약_자동_계약이력,CVR_MCH_SEQ,담보기계회차,담보기계회차,,,,,,,,ok
row-804,INS_CR_CR_CRR,계약_자동_계약이력,NEW_LAW_CS_SUPT_SRV_T2S,NEW법률비용지원서비스2회차,신규법률비용지원서비스2회차,,,,,,,,ok
row-865,INS_CR_CR_DT,계약_자동_계약상세,OLD_CATCD,OLD차종코드,구차종코드,,,,,,,,ok
